date,grid_id,latitude,longitude,coarse_rain_forecast_mm,temperature_c,humidity_pct,wind_speed_ms,soil_moisture,satellite_rain_mm,elevation_m,rainfall_target_mm,rain_event
2026-06-01,G0001,25.46802,86.57001,9.53,28.94,81.37,3.35,0.293,9.08,46.5,7.66,1
2026-06-01,G0002,25.46802,86.61003,9.24,29.35,83.68,4.29,0.357,11.29,44.35,6.71,1
2026-06-01,G0003,25.46802,86.65004,11.09,29.13,77.33,4.14,0.295,16.75,45.21,14.38,1
2026-06-01,G0004,25.46802,86.69006,13.6,29.53,79.1,4.44,0.308,10.7,46.97,5.75,1
2026-06-01,G0005,25.46802,86.73008,0,27.98,82.24,4.3,0.304,8.82,47.53,2.98,1
2026-06-01,G0006,25.46802,86.7701,9.76,29.21,81.96,4.27,0.367,9.2,47.13,10.11,1
2026-06-01,G0007,25.46802,86.81011,7.6,28.51,80.36,3.2,0.446,6.36,44.19,3.27,1
2026-06-01,G0008,25.46802,86.85013,13.18,29.68,82.04,5.21,0.349,13.75,42.99,10.42,1
2026-06-01,G0009,25.46802,86.89015,13.91,29.12,79.13,3.12,0.382,1.38,46.99,12.27,1
2026-06-01,G0010,25.46802,86.93017,12.58,28.4,73.7,4.64,0.33,4.26,45.69,8.55,1
2026-06-01,G0011,25.46802,86.97018,7.21,26.87,72.45,2.82,0.369,5.63,48.22,5.64,1
2026-06-01,G0012,25.46802,87.0102,11.15,30.38,82.33,3.83,0.312,8.12,47.64,9.54,1
2026-06-01,G0013,25.46802,87.05022,15.01,31.42,76.07,5.41,0.357,8.36,44.8,5.9,1
2026-06-01,G0014,25.46802,87.09024,9.5,30.06,81.31,0.65,0.381,15.36,46.94,10.33,1
2026-06-01,G0015,25.46802,87.13012,7.59,31.15,72.59,2.99,0.407,10.73,44.94,7.54,1
2026-06-01,G0016,25.50405,86.57001,10.49,29.29,71.81,4.56,0.353,4.55,52.06,6.72,1
2026-06-01,G0017,25.50405,86.61003,15.57,28.88,79.48,5.59,0.286,5.36,49.48,9.62,1
2026-06-01,G0018,25.50405,86.65004,16.24,29.08,75.25,2.0,0.361,14.1,47.11,18.77,1
